順位,タイトル,巻数,発売日
733,神の手違いで死んだらチートガン積みで異世界に放り込まれました (15) (バーズコミックス),15,2026-06-24
2010,異世界に来たみたいだけど如何すれば良いのだろう (6) ～社畜SEのマイペース冒険記～ 【電子限定おまけ付き】 (バーズコミックス),6,2026-06-24
4985,ゾゾゾ変 (4) (バーズコミックス),4,2026-06-24
5597,えっちなメイドのおねえさんは好きですか?: セラフィンコミックス,,2026-06-24
15430,ニンジャスレイヤー　メリー・クリスマス・ネオサイタマ　カラーライズ版　第一部　ネオサイタマ・イン・フレイム ニンジャスレイヤー カラーライズ版 (角川コミックス・エース),,2026-06-24
18313,どっちが強い!? 荒ぶる巨大鳥バトル 爆走!飛べない鳥ティタニス (角川まんが科学シリーズ),,2026-06-24
19313,棄てられた元聖女が幸せになるまで～呪われた元天才魔術師様との同居生活は甘甘すぎて身が持ちません!!～ 2 (プティルファンタジーコミックス),2,2026-06-24
19565,その初恋は甘すぎる～恋愛処女には刺激が強い～　7 (プティルコミックス),7,2026-06-24
19783,おとなしく泣き寝入りするとでも思いましたか？ 3 (このマンガがすごい！ comics),3,2026-06-24
26605,えぶりでいホスト 4 (あすかコミックスDX),4,2026-06-24
27073,どうやら誰かの回帰に巻き込まれたようです (1) 【電子限定おまけ付き】 (バーズコミックス　エメリナコレクション),1,2026-06-24
33184,俺の可愛い弟は【第12話】【特典付き】 【単話】俺の可愛い弟は (フルールコミックス),,2026-06-24
41509,私が聖女？いいえ、悪役令嬢です！～なので、全員破滅は阻止させていただきます～【単話版】 第45話 (コミックライド),,2026-06-24
63949,ラチェリアの恋 【分冊版】22話 (プティルファンタジーコミックス),,2026-06-24
81601,魔物の花嫁 1 (ポー・バックス),1,2026-06-24
100391,くろねこ先生とほつれた患者たち　１【Kindle限定特典付き】 (ハヤコミ(ハヤカワ・コミックス)),,2026-06-24
128483,悪役令嬢は嫌なので、医務室助手になりました。【分冊版】29話 (プティルファンタジーコミックス),,2026-06-24
143786,冷徹伯爵は穢れを見るメイドを花嫁に望む ～生まれ変わるなら、あなたのそばに～ 【分冊版】12話 (プティルファンタジーコミックス),,2026-06-24
—,悪役令嬢に転生したら理想の部屋が手に入りました！ ３【電子特典付き】,,2026-06-24
—,トラウマのほぐし方,,2026-06-24
