タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
パートごときがでしゃばるなとクビにされました～このスーパー、私達で回してましたが大丈夫ですか？～【単話】 11 (Rentaコミックス),11,2026-08-22,4500,2344,+2156,47.9
専業主婦だけど、食い尽くし夫と離婚します　第9巻 (コミックエッセイ),9,2026-08-22,6686,3254,+3432,51.3
婚約者は溺愛のふり［1話売り］　story34 (花とゆめコミックス),34,2026-08-22,20916,9328,+11588,55.4
帝国の恋嫁［1話売り］　story42 (花とゆめコミックス),42,2026-08-22,20160,10814,+9346,46.4
ニューノーマル７０ (コミックアウル),70,2026-08-22,49284,18440,+30844,62.6
金髪の姫将軍は元敵国の好敵手に嫁ぐ（単話版33） 金髪の姫将軍は元敵国の好敵手に嫁ぐ 単話版 (コミックcoral),,2026-08-22,41163,20511,+20652,50.2
婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版5） 婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版） (コミックcoral),3,2026-08-22,53191,20547,+32644,61.4
超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版10） 超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版） (コミックcoral),3,2026-08-22,42682,20816,+21866,51.2
天堂家物語［1話売り］　第八十二話 (花とゆめコミックス),,2026-08-22,30539,22660,+7879,25.8
皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（単話版12） 皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（単話版） (コミックcoral),3,2026-08-22,63247,30990,+32257,51
禁欲シェアハウス(31) (コミックおじぎ),31,2026-08-22,72089,36343,+35746,49.6
龍の花嫁は鬼の嘘に溺れる（単話版24） 龍の花嫁は鬼の嘘に溺れる（単話版） (コミックcoral),,2026-08-22,84323,37745,+46578,55.2
アデル～全てを奪われた令嬢は復讐を誓う～(10) (コミック カーテシック),10,2026-08-22,102038,40037,+62001,60.8
シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（単話版24） シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（単話版） (コミックcoral),,2026-08-22,228342,52922,+175420,76.8
君と異世界を自由に生きてゆくための冴えたやり方～唯一無二の力を与えられた僕は絶対者となり追放された王女を救済する～（3）【描き下ろしおまけ付き】 (コミックcoral),3,2026-08-22,86384,66683,+19701,22.8
男をやめてみた～癌になったので女装して恋をすることにしました～78 (エンペラーズコミックス),78,2026-08-22,83444,67295,+16149,19.4
狼皇子と嘘つきな結婚［1話売り］　第31話 (花とゆめコミックス),,2026-08-22,265068,67527,+197541,74.5
家庭内ハーレム(27) (コミックおじぎ),27,2026-08-22,75055,87567,-12512,-16.7
