順位,タイトル,巻数,発売日
312,刃牙らへん　7 (少年チャンピオン・コミックス),7,2026-07-08
360,ドローイング 最強漫画家はお絵描きスキルで異世界無双する！19 (ヴァルキリーコミックス),,2026-07-08
364,弱虫ペダル 101 (101) (少年チャンピオンコミックス),101,2026-07-08
485,「おかえり、パパ」【電子単行本】　6 (少年チャンピオン・コミックス),6,2026-07-08
504,夜は猫といっしょ 9 (コミックエッセイ),9,2026-07-08
509,織田家の長男に生まれました～戦国時代に転生したけど、死にたくないので改革を起こします～　12 (少年チャンピオン・コミックス),12,2026-07-08
654,ＪＪＭ　女子柔道部物語　社会人編（５） (コミックＤＡＹＳコミックス),5,2026-07-08
778,暗殺者である俺のステータスが勇者よりも明らかに強いのだが 7 (ガルドコミックス),7,2026-07-08
820,ダンジョン暮らしの元勇者 THE COMIC8 (ヴァルキリーコミックス),,2026-07-08
941,クレバテス−魔獣の王と赤子と屍の勇者−【フルカラー版】 13巻 クレバテス－魔獣の王と赤子と屍の勇者－【フルカラー版】 (LINEコミックス),13,2026-07-08
1257,爆弾魔な傭兵、同時召喚された最強チート共を片っ端から消し飛ばす3 (ヴァルキリーコミックス),,2026-07-08
1313,新米錬金術師の店舗経営9 (ヴァルキリーコミックス),,2026-07-08
1530,桃源暗鬼 30 (30) (少年チャンピオンコミックス),30,2026-07-08
1587,クレバテス−魔獣の王と赤子と屍の勇者− 13巻 クレバテス－魔獣の王と赤子と屍の勇者－ (LINEコミックス),13,2026-07-08
2128,ずっと青春ぽいですよ（６） (コミックＤＡＹＳコミックス),6,2026-07-08
2479,ムサシノ輪舞曲（６）【電子限定特典付】 (FEEL COMICS swing),6,2026-07-08
3133,魔道具師リゼ、開業します 5 (ガルドコミックス),5,2026-07-08
3403,ましろくん 特装版 1 (1) (少年チャンピオンコミックス),1,2026-07-08
3540,聖闘士星矢 Final Edition 14 (14) (少年チャンピオンコミックス),14,2026-07-08
3849,悪女矯正計画 3 (ブシロードコミックス),3,2026-07-08
4255,異世界喰滅のサメ12 (ヴァルキリーコミックス),,2026-07-08
4357,モーレツ!浦安鉄筋家族 2 (2) (少年チャンピオンコミックス),2,2026-07-08
5091,MOGAKU　10 (少年チャンピオン・コミックス),10,2026-07-08
5508,豚貴族は未来を切り開くようです 4 (ガルドコミックス),4,2026-07-08
5748,どクズな家族と別れる方法　天才の姉は実はダメ女。無能と言われた妹は救国の魔導士だった（コミック） ： 5 (モンスターコミックスｆ),5,2026-07-08
6216,ましろくん　1 (少年チャンピオン・コミックス),1,2026-07-08
6336,ルパン三世 異世界の姫君　20 (少年チャンピオン・コミックス),20,2026-07-08
7131,愛してほしいのは俺じゃないのに！　～ＢＬゲームの悪役令息に転生したのに嫌われなくて困ってます～（２） (コミックＤＡＹＳコミックス),2,2026-07-08
7179,桃源暗鬼外伝 ~月と桜の狂争曲~ 2 (2) (少年チャンピオンコミックス),2,2026-07-08
7507,U.M.A～未確認総合格闘技～　5 (少年チャンピオン・コミックス),5,2026-07-08
7552,エスプレッソ・コーラ 児童発達支援ももの木スクール 1 (BRIDGE COMICS),1,2026-07-08
9450,かいじゅうたん、現る。　6 (少年チャンピオン・コミックス),6,2026-07-08
10343,没落麗子のシンデレラグルメ（３） (モーニングコミックス),3,2026-07-08
10518,弱虫ペダル 特装版 101 (101) (少年チャンピオンコミックス),101,2026-07-08
10535,お願いですからウケてくれ　3 (少年チャンピオン・コミックス),3,2026-07-08
13088,ブラザー仁義　6 (少年チャンピオン・コミックス),6,2026-07-08
15459,ガーリーデビュー　4 (少年チャンピオン・コミックス),4,2026-07-08
17046,半蔵と十三人の女忍たち　2 (少年チャンピオン・コミックス),2,2026-07-08
17054,大衆食堂悪役令嬢 3　～婚約破棄されたので食堂を開いたら癒やしの力が開花しました～ (ガルドコミックス),3,2026-07-08
20020,貴方様が「忘れてほしい」とおっしゃいましたので～婚約破棄された私が、従者から溺愛されるなんて～ 2 (このマンガがすごい！ comics),2,2026-07-08
20817,死ぬ運命にある私が、溺愛されて幸せな未来を手に入れるまでアンソロジーコミック (ガルドコミックス),,2026-07-08
22557,偶然助けた美少女がなぜか俺に懐いてしまった件について 1 (ブシロードコミックス),1,2026-07-08
24446,俺は学園頭脳バトルの演出家！ 1　～自称モブが陰から描く最強主人公無双シナリオ～ 俺は学園頭脳バトルの演出家！　～自称モブが陰から描く最強主人公無双シナリオ～ (ガルドコミックス),1,2026-07-08
24601,婚約破棄ならお好きにどうぞ。したたか令嬢の華麗なる復讐 アンソロジーコミック (ブシロードコミックス),,2026-07-08
25713,頭脳と異能に筋肉で勝利するデスゲーム 1　～頭脳戦に舞い降りた最強のバカ～ (ガルドコミックス),1,2026-07-08
26031,桃源暗鬼 特装版 30 (30) (少年チャンピオンコミックス),30,2026-07-08
26736,冥王の柘榴　3 (少年チャンピオン・コミックス),3,2026-07-08
29933,偶然助けた美少女がなぜか俺に懐いてしまった件について 1 (ブシロードコミックス),1,2026-07-08
29967,ぷんぷん -レッサー任侠伝-　1 (少年チャンピオン・コミックス),1,2026-07-08
32807,プチコミック【デジタル限定 コミックス試し読み特典付き】 2026年8月号（2026年7月8日発売） [雑誌],,2026-07-08
33274,マンガと図解 新・くらしの税金百科2026-2027,,2026-07-08
34113,都市伝説清掃員 1 (ブシロードコミックス),1,2026-07-08
34600,男子校のくらげ先生 1 (1) (少年チャンピオンコミックス),1,2026-07-08
39504,貴方様が「忘れてほしい」とおっしゃいましたので～婚約破棄された私が、従者から溺愛されるなんて～【合本版】2（ルージールコミックス）,,2026-07-08
40933,奇種博物録　3 (少年チャンピオン・コミックス),3,2026-07-08
46989,令嬢たちのすれ違い恋！ 一途な婚約者を疑う必要がありません！ アンソロジーコミック (ブシロードコミックス),,2026-07-08
51463,道端葉のいる世界（１） (FEEL COMICS swing),1,2026-07-08
55640,徒然チルドレン　カラー版（７） (星海社コミックス),7,2026-07-08
60176,婚約破棄ならお好きにどうぞ。したたか令嬢の華麗なる復讐 アンソロジーコミック (ブシロードコミックス),,2026-07-08
66672,まがりなりの春（２） (コミックＤＡＹＳコミックス),2,2026-07-08
78533,御門くん、今日もビジュがいいですね　3 (少年チャンピオン・コミックス),3,2026-07-08
187840,公爵令嬢は我が道を場当たり的に行く連載版：24 公爵令嬢は我が道を場当たり的に行く 連載版 (ブシロードコミックス),,2026-07-08
—,妻プチ 2026年8月号(2026年7月8日発売) [雑誌] (プチコミック),,2026-07-08
