順位,タイトル,巻数,発売日
914,吸血姫 美夕維（コミック）１　特別版 (GAコミック),,2026-09-12
2542,ハズレ属性【音属性】で追放されたけど、実は唯一無詠唱で発動できる最強魔法でした（コミック）　４ (GAコミック),4,2026-09-12
7499,ウは宇宙ヤバイのウ！ (3) (バンブーコミックス),3,2026-09-12
9612,「変なバイト見つけた」時給××万円の理由がヤバすぎる【電子単行本版】５ (コミックアウル),5,2026-09-12
15635,アカデミーの天才剣士（コミック）３ (GAコミック),3,2026-09-12
24563,芦屋山手お道具迎賓館（コミック）２ (GAコミック),2,2026-09-12
25369,テムパル ～アイテムの力～（コミック）２ (GAコミック),2,2026-09-12
26863,イマリさんは旅上戸（コミック）　１ (GAコミック),1,2026-09-12
28416,俺じゃねぇとダメなくせに～この男、愛し方も超一流３０ (ラブきゅんコミック),30,2026-09-12
28536,ヤングコミック 2026年 10月号 [雑誌],,2026-09-12
32025,社交界の毒婦とよばれる私～素敵な辺境伯令息に腕を折られたので、責任とってもらいます～［ばら売り］　第21話 (花とゆめコミックススペシャル),,2026-09-12
41625,錬金術師のゆるふわ離島開拓記（コミック）　２ (GAコミック),2,2026-09-12
51327,異世界転生した元教師、【臨時教師】として崩壊した魔術学園を救う。（コミック） 1 (GAコミック),1,2026-09-12
53566,【報告】とある未解決事件について１０ (コミックアウル),10,2026-09-12
60582,16年目の復讐～奴らを地獄に送るまで２１ (コミックアウル),21,2026-09-12
61627,３か月なら、大丈夫だと思ってた。～留学した僕の留守中に、一途な彼女が汚されるまで～ 27話 (コミックダイス),2,2026-09-12
68427,夜明けを乞うけものたち[ばら売り]　第26話 (花とゆめコミックススペシャル),,2026-09-12
85038,無自覚な天才少女は気付かない[ばら売り]　第34話 (花とゆめコミックススペシャル),,2026-09-12
86034,君を映して離さない［ばら売り］　第24話 (花とゆめコミックススペシャル),,2026-09-12
93499,29歳、彼氏なし。ケダモノ社長といきなり同居！？１３４ (ラブきゅんコミック),134,2026-09-12
119374,この絵には裏がある【電子単行本版】１ (コミックアウル),1,2026-09-12
120266,「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない！」と王立研究所に即採用されました。[ばら売り]　第30話 (花とゆめコミックススペシャル),,2026-09-12
126031,奇妙な日記～あなたはこの謎を解明できますか？～９ (コミックアウル),9,2026-09-12
128537,男をやめてみた～癌になったので女装して恋をすることにしました～84 (エンペラーズコミックス),84,2026-09-12
188007,透明な鱗の人魚の味は【分冊版】（12） (マンガBANGコミックス),12,2026-09-12
234000,イットボーイハント［ばら売り］第25話［DRUNK!］ イットボーイハント［ばら売り］［DRUNK!］ (花とゆめコミックススペシャル),,2026-09-12
246948,出来損ないの魔女は獅子公爵と蜜婚する［ばら売り］　第10話 (花とゆめコミックススペシャル),,2026-09-12
279370,シアワセな家族６５ (コミックアウル),65,2026-09-12
324024,天使さんは抗えない～ドSな同期の甘い命令～［ばら売り］　第15話 (花とゆめコミックススペシャル),,2026-09-12
—,この絵には裏がある１ (コミックアウル),1,2026-09-12
—,この絵には裏がある２ (コミックアウル),2,2026-09-12
—,復讐の標本～顔を変えた姉の10年～２ (コミックアウル),2,2026-09-12
—,復讐の標本～顔を変えた姉の10年～１ (コミックアウル),1,2026-09-12
