順位,タイトル,巻数,発売日
143,転生したら剣でした (20) (バーズコミックス),20,2026-09-24
1428,KATANA 23 百鬼夜行 (あすかコミックスDX),,2026-09-24
2486,魔道祖師 6 (ダリアコミックスユニ),6,2026-09-24
4415,おっさんのリメイク冒険日記 (14) ～オートキャンプから始まる異世界満喫ライフ～ (バーズコミックス),14,2026-09-24
4636,最強の黒騎士、戦闘メイドに転職しました (14) 【電子限定おまけ付き】 (バーズコミックス),14,2026-09-24
12226,ドカベン　18巻 (SAN-EI COMICS SC 018),18,2026-09-24
12314,ドカベン　17巻 (SAN-EI COMICS SC 017),17,2026-09-24
18813,転生したら剣でした (20) 小冊子つき特装版 (バーズコミックス),20,2026-09-24
19400,聖なる皇帝がとんだ隠れ絶倫だった件【第６話】 聖なる皇帝がとんだ隠れ絶倫だった件【単話】 (ピュールコミックス),,2026-09-24
21273,十億のアレ。～吉原いちの花魁～ 10 (プティルコミックス),10,2026-09-24
22589,事故チューだったのに！2【電子限定特典付き】 事故チューだったのに！【電子限定特典付き】 (プティルファンタジーコミックス),,2026-09-24
30327,無自覚ちゃんとオトメな男 (4) (バーズコミックス),4,2026-09-24
38121,私たちは離婚する。深く、甘く、繋がって…　2 (プティルハニーコミックス),2,2026-09-24
39943,怪島奇譚 ~不死の少年と妖猫の旅~ 2 (あすかコミックスDX),2,2026-09-24
41818,ブラザーフレンドコンプレックス（分冊版） 【第4話】 (＆.Emo comics),,2026-09-24
43134,コワモテお兄さんとうぶギャルくん（分冊版） 【第5話】 (＆.Emo comics),,2026-09-24
52149,私たちは離婚する。深く、甘く、繋がって…　1 (プティルハニーコミックス),1,2026-09-24
52267,報告書は、嘘をつく（分冊版） 【第1話】 (＆.Emo comics),,2026-09-24
52399,負け犬のアイラブユー（分冊版） 【第5話】 (＆.Emo comics),,2026-09-24
57661,モフモフ屋敷の猫とオレ 2 (2巻) (YKコミックス),2,2026-09-24
59971,一緒に居てほしい。ただそう言いたかった。3 (プティルファンタジーコミックス),3,2026-09-24
65826,美人な妹と、私　【分冊版】18話 (プティルファンタジーコミックス),,2026-09-24
70539,「先生、」（分冊版） 【第5話】 (＆.Emo comics),,2026-09-24
76734,孤高の王のあやまち／灼熱の王と美しき逃亡者 (ハーレクインコミックス・エクストラ),,2026-09-24
87124,無愛想ダーリンが今日も可愛い（分冊版） 【第2話】 (＆.Emo comics),,2026-09-24
89314,悪役令嬢は嫌なので、医務室助手になりました。【分冊版】31話 (プティルファンタジーコミックス),,2026-09-24
136059,失恋堂～魔女へのお支払いは、失った恋で～【分冊版】13話 (プティルファンタジーコミックス),,2026-09-24
154401,ラチェリアの恋 【分冊版】24話 (プティルファンタジーコミックス),,2026-09-24
—,千鶴の夜明け～わたしに一途な旦那さま～ 4巻【電子単行本限定特典付き】 (SORAJIMA),4,2026-09-24
—,ねこぱんち どうにもたまらんネコ好き 号 (にゃんCOMI),,2026-09-24
