順位,タイトル,巻数,発売日
2061,能美先輩の弁明 特典小冊子 (光文社 BL COMICS / Vinyl),,2026-07-26
12040,夏果てのアンノウン【単話版】7 (光文社 BL COMICS / Vinyl),,2026-07-26
132988,使い魔を探していたら伝説の英雄だとバレた件(2) (コミック エナブレイズ),2,2026-07-26
142137,使い魔を探していたら伝説の英雄だとバレた件(1) (コミック エナブレイズ),1,2026-07-26
154319,使い魔を探していたら伝説の英雄だとバレた件(6) (コミック エナブレイズ),6,2026-07-26
155003,使い魔を探していたら伝説の英雄だとバレた件(5) (コミック エナブレイズ),5,2026-07-26
164954,使い魔を探していたら伝説の英雄だとバレた件(3) (コミック エナブレイズ),3,2026-07-26
165933,使い魔を探していたら伝説の英雄だとバレた件(4) (コミック エナブレイズ),4,2026-07-26
184003,連れ去られた母は、お骨になって帰ってきました。～成年後見制度の隠された真実～ 【せらびぃ連載版】１０ (コミックエッセイ　せらびぃ),,2026-07-26
