順位,タイトル,巻数,発売日
64,黒執事(36) (Gファンタジーコミックス),36,2026-09-26
118,悪人面したB級冒険者 主人公とその幼馴染たちのパパになる 5 (電撃コミックスNEXT),5,2026-09-26
263,王都の外れの錬金術師 8　～ハズレ職業だったので、のんびりお店経営します～ (電撃コミックスNEXT),8,2026-09-26
272,真の実力はギリギリまで隠していようと思う １０ (電撃コミックスNEXT),10,2026-09-26
306,つぐもも ： 37 (アクションコミックス),37,2026-09-26
373,神の庭付き楠木邸（６） (電撃コミックスNEXT),6,2026-09-26
694,ご注文はうさぎですか？　１４巻【Amazon.co.jp限定特典付き】 (まんがタイムＫＲコミックス),14,2026-09-26
762,砂魔法で砂の王国を作ろう ～砂漠に追放されたから頑張って祖国以上の国家を建ててみた～: 4【イラスト特典付】 (REXコミックス),1,2026-09-26
815,チュートリアルが始まる前に 5　ボスキャラ達を破滅させない為に俺ができる幾つかの事 (電撃コミックスNEXT),,2026-09-26
980,サーシャちゃんとクラスメイトオタクくん（7） (電撃コミックスEX),7,2026-09-26
1330,転生した空間魔法使いは正体隠して目立ちたい！（３） (電撃コミックスNEXT),3,2026-09-26
1779,ニニンがシノブ伝ぷらす 5 (カドカワデジタルコミックス),5,2026-09-26
2159,初期街から旅立たない勇者のハーレムライフ ～勇者さま、コンプラ的にアウトです！～: 2【イラスト特典付】 (REXコミックス),,2026-09-26
2671,「お前を追放する」追放されたのは俺ではなく無口な魔法少女でした: 6【イラスト特典付】 (REXコミックス),,2026-09-26
2700,嫌われ皇子のやりなおし　～辺境で【闇魔法】を極めて、最強の眷属と理想の王国を作ります～（８） (電撃コミックスNEXT),8,2026-09-26
4359,ダンジョンマスターは真剣勝負がしたいのに！1 (電撃コミックスNEXT),1,2026-09-26
4419,どうも、物欲の聖女です～無双スキル「クリア報酬」で盛大に勘違いされました～: 3【イラスト特典付】 (REXコミックス),,2026-09-26
5042,極悪非道な性癖貴族が努力したら誠実ハーレムつくれました (1) (電撃コミックスNEXT),1,2026-09-26
5205,ご近所JK伊勢崎さんは異世界帰りの大聖女（2） (電撃コミックスNEXT),2,2026-09-26
6356,ななどなどなど　５巻 (まんがタイムＫＲコミックス),5,2026-09-26
6852,雅血の陰陽師 9巻 (デジタル版Gファンタジーコミックス),9,2026-09-26
8352,なーんもうまくいかん！　１巻 (まんがタイムＫＲコミックス),1,2026-09-26
9463,エイジング―80歳以上の若者が暮らす島― ： 15 (アクションコミックス),15,2026-09-26
10618,かげきしょうじょ！！［1話売り］　第58幕 (花とゆめコミックススペシャル),,2026-09-26
13596,ウチから何キロメートル？　１巻 (まんがタイムＫＲコミックス),1,2026-09-26
14759,住んでる場所が田舎すぎて、ダンジョン探索者が俺一人なんだが？ 1 (電撃コミックスNEXT),1,2026-09-26
18126,ルルの亡霊屋敷 3巻 (デジタル版Gファンタジーコミックス),3,2026-09-26
19501,帝国の恋嫁［1話売り］　story43 (花とゆめコミックス),43,2026-09-26
24138,婚約者は溺愛のふり［1話売り］　story35 (花とゆめコミックス),35,2026-09-26
25257,いのちの食べ方 4 (MFコミックス ジーンシリーズ),4,2026-09-26
26058,因習系邪神様メイリュちゃん 1 (電撃コミックスNEXT),1,2026-09-26
28586,絶対幸せになりますわ！ ワケあり令嬢は一途に溺愛される アンソロジーコミック （2） (PRIMO),2,2026-09-26
29642,自称・お母さんが1体あらわれた!1 (電撃コミックスNEXT),1,2026-09-26
29798,その呪物、取扱注意につき(2) (電撃コミックスNEXT),2,2026-09-26
34466,隻眼錬金剣士のやり直し奇譚　（3） (角川コミックス・エース),3,2026-09-26
37850,ニューノーマル７１ (コミックアウル),71,2026-09-26
39965,剣鬼転生 極めし剣は魔術を斬り裂く: 2【イラスト特典付】 (REXコミックス),,2026-09-26
40591,皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（2）【描き下ろしマンガ付き】 (コミックcoral),2,2026-09-26
56907,アプリで出会った酔っぱらい年下女子がグイグイ迫ってくるアンソロジーコミック (REXコミックス),3,2026-09-26
56982,使い魔を探していたら伝説の英雄だとバレた件【単話版】(8) (コミック エナブレイズ),8,2026-09-26
58731,龍の花嫁は鬼の嘘に溺れる（単話版25） 龍の花嫁は鬼の嘘に溺れる（単話版） (コミックcoral),,2026-09-26
68991,根ノ國家　第二巻 (MFコミックス　ジーンシリーズ),,2026-09-26
83798,婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（1）【描き下ろしマンガ付き】 (コミックcoral),1,2026-09-26
90186,【電子版】月刊コミックキューン 2026年11月号 [雑誌],,2026-09-26
90187,【電子版】月刊コミックアライブ 2026年11月号 [雑誌],,2026-09-26
91107,超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版11） 超有能兵士の部下に嫌われていると思ってたら、長年虎視眈々と狙われていた話（単話版） (コミックcoral),3,2026-09-26
102981,「変なバイト見つけた」時給××万円の理由がヤバすぎる２１ (コミックアウル),21,2026-09-26
103140,婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版6） 婚約破棄されて自由を手に入れた女伯爵ですが、知識をいかして司書になったら王弟殿下に認められ、専属になりました（単話版） (コミックcoral),3,2026-09-26
108411,皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（単話版13） 皇帝陛下の運命の人は、私でした～後宮寵愛占い譚～（単話版） (コミックcoral),3,2026-09-26
110488,シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（単話版25） シンデレラが結婚したので意地悪な義姉はクールに去……れません！？（単話版） (コミックcoral),,2026-09-26
111703,狼皇子と嘘つきな結婚［1話売り］　第32話 (花とゆめコミックス),,2026-09-26
141194,金髪の姫将軍は元敵国の好敵手に嫁ぐ（単話版34） 金髪の姫将軍は元敵国の好敵手に嫁ぐ 単話版 (コミックcoral),,2026-09-26
157028,その異世界ハーレムは制約つき。～自慰行為を禁止された童貞勇者のスローライフ～（分冊版）３４ (ムゲンコミックス),34,2026-09-26
197677,愛され皇妃のゆううつ［1話売り］　第12話 (花とゆめコミックス),,2026-09-26
199658,絶対に死ぬモブ悪役令嬢は初恋がしたい【単行本版】 6巻 (コミックROLLY),6,2026-09-26
216211,花はことりを好きすぎる［1話売り］　第9話 (花とゆめコミックス),,2026-09-26
—,拝啓…殺し屋さんと結婚しました　９ (MFC　キューンシリーズ),9,2026-09-26
—,針鼠とコントラスト　3 (MFC　ジーンピクシブシリーズ),3,2026-09-26
—,凍堂くんちのメイドショタ　3 (MFC　キューンシリーズ),3,2026-09-26
—,それ、運命のせいではありません１ (コミックアウル),1,2026-09-26
—,【電子版】月刊コミック 電撃大王 2026年11月号 [雑誌] 【電子版】電撃大王,,2026-09-26
